filename,Gletscher,1850F,L1850,1973F,L1973,1985,1999F,L2000,L2001,L2002,L2003,L2004,L2005,L2006,L2007,L2008,L2009,L2010,L2011,L2012,L2013
,Fläche,Länge,Fläche,Länge,Länge,Fläche,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge
,km2,km,km2,km,km,km2,km,km,km,km,km,km,km,km,km,km,km,km,km,km
montdurand.csv,Mont Durand,8.9 ,7.2 ,7.6 ,5.9 ,5.8 ,6.7 ,5.8 ,5.8 ,5.8 ,5.8 ,5.8 ,5.7 ,5.7 ,5.7 ,5.7 ,5.6 ,5.6 ,5.6 ,5.6 ,5.5
forno.csv,Forno,10.3 ,7.8 ,8.7 ,6.2 ,5.9 ,6.8 ,5.6 ,5.6 ,5.6 ,5.6 ,5.5 ,5.5 ,5.5 ,5.4 ,5.4 ,5.4 ,5.4 ,5.3 ,5.3 ,5.3
breney.csv,Breney,11.0 ,8.0 ,10.0 ,5.9 ,5.8 ,7.1 ,5.6 ,5.5 ,5.5 ,5.3 ,5.3 ,5.3 ,5.3 ,5.2 ,5.2 ,5.2 ,5.1 ,5.1 ,5.1 ,5.0
gries.csv,Gries,8.3 ,7.6 ,6.2 ,5.7 ,5.6 ,5.4 ,5.4 ,5.4 ,5.4 ,5.3 ,5.3 ,5.3 ,5.2 ,5.2 ,5.1 ,5.1 ,5.1 ,5.1 ,5.0 ,5.0
moiry.csv,Moiry,6.8 ,6.2 ,5.8 ,5.3 ,5.4 ,4.6 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.2 ,5.2 ,5.2 ,5.2 ,5.2 ,5.2 ,5.1
trift.csv,Trift (Gadmen),19.3 ,7.6 ,16.5 ,5.8 ,5.7 ,15.0 ,5.6 ,5.4 ,5.3 ,5.1 ,5.0 ,4.9 ,4.8 ,4.8 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,3.7
turtmann.csv,Turtmann,15.0 ,6.4 ,12.8 ,5.3 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.3 ,5.3 ,5.2 ,  ,  ,  ,  ,  ,5.2 ,5.2 ,5.2
mittelaletsch.csv,Mittelaletsch,  ,  ,8.3 ,5.4 ,5.2 ,7.3 ,5.0 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
raetzli.csv,Rätzli,11.4 ,6.7 ,9.1 ,5.2 ,5.1 ,7.8 ,4.9 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
tsidjiore.csv,Tsidjiore Nouve,3.4 ,5.3 ,3.2 ,4.8 ,5.1 ,2.9 ,4.9 ,4.9 ,4.9 ,4.8 ,4.8 ,4.8 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.6
fee.csv,Fee (Nord),8.1 ,5.9 ,7.5 ,5.0 ,5.3 ,7.7 ,5.1 ,4.8 ,4.8 ,4.8 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7
oberaar.csv,Oberaar,8.5 ,6.8 ,5.8 ,4.9 ,4.9 ,4.8 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,4.7 ,  ,  ,4.6 ,4.6 ,  ,  ,4.5 ,4.5
