col1,col2,col3,col4
Glacier, Bisgletscher, ,
Community, Randa, ,
Canton, VS, ,
Number, , ,
Length (1973), 4.00, ,
Area (1973), 4.72, ,
Coordinates, 622.0, 106.5,
Exposition, E, ,
  , , ,
Length variation measurements between 1900 and 1979, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1900, 1901, -3, -3, 
1901, 1902, -7, -10, 
1902, 1903, -8, -18, 
1903, 1906, -20, -38, 
1972, 1973, 0, -38, 
1975, 1976, 0, -38, 
1978, 1979, 0, -38, 
